CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01;264074;629120;23490;59,6;10,7;15,4;12,4;12,0;10,1;7,7;7,3;5,0;22,6;78,0;71,3;2,8;3,9;24,9;9,1;4,2;1,9;1,5;0,8;-16,2;12890;44620;3,5
02;223635;513278;19880;49,5;18,4;30,0;23,4;21,4;17,8;11,6;9,3;8,4;36,1;67,2;58,3;3,1;5,8;30,9;8,1;8,3;2,8;3,7;1,8;-14,5;10840;33100;3,1
03;158967;326379;20570;49,0;15,4;24,9;19,8;18,2;15,8;10,5;10,0;8,3;31,2;59,9;51,7;2,6;5,6;37,7;9,8;7,2;2,0;3,6;1,6;-14,6;11480;33700;2,9
04;74092;154195;20690;51,5;16,6;26,1;21,7;19,8;16,6;11,9;11,4;9,0;29,2;59,9;50,1;3,3;6,5;36,4;12,9;6,2;1,9;2,9;1,4;-15,4;11160;35210;3,2
05;64688;134672;21020;54,2;13,9;21,6;17,0;16,4;14,5;9,7;10,1;7,9;24,7;62,8;51,9;3,3;7,6;35,9;10,9;5,7;1,9;2,6;1,2;-15,3;11880;35300;3,0
06;527841;1109491;22300;60,4;15,8;22,2;18,1;17,9;15,7;13,1;11,9;8,1;25,9;71,1;61,3;3,2;6,6;29,4;13,7;5,0;1,5;2,4;1,1;-19,2;11120;41940;3,8
07;143925;313991;21010;50,9;14,3;21,5;18,1;17,5;14,0;9,7;9,7;8,2;29,3;63,7;54,9;3,2;5,6;34,3;10,8;6,0;2,1;2,6;1,3;-14,8;11770;34490;2,9
08;117854;260778;19840;47,2;18,6;30,6;22,8;21,2;17,5;12,9;11,9;8,9;35,7;65,3;56,5;2,9;5,9;31,6;8,9;8,1;2,5;3,8;1,8;-13,9;10780;33020;3,1
09;70184;146066;20010;46,7;17,9;27,7;23,2;20,5;17,7;13,2;13,1;11,0;33,1;59,8;50,9;3,2;5,7;37,2;9,2;7,6;2,0;3,9;1,7;-13,8;10830;33080;3,1
10;132913;290472;20580;52,6;16,3;27,8;21,5;19,1;15,1;10,5;7,8;6,4;33,2;67,9;56,5;2,9;8,5;31,0;9,7;7,3;2,4;3,2;1,7;-15,9;11210;35480;3,2
11;166668;351614;19550;45,5;20,2;31,5;25,9;23,4;20,5;14,6;14,2;11,3;36,2;59,0;49,0;3,4;6,6;37,5;9,3;8,4;2,2;4,3;1,9;-14,2;10400;33180;3,2
12;124877;263673;20850;48,9;13,8;21,0;15,9;15,5;13,7;10,1;13,2;9,0;27,3;62,1;51,6;2,2;8,3;35,3;11,6;5,6;1,8;2,6;1,2;-14,6;11990;34280;2,9
13;870986;1970871;21650;57,4;18,3;27,4;21,4;20,8;18,7;13,5;11,9;6,4;32,0;73,2;63,7;3,4;6,1;27,6;10,4;7,1;2,2;3,2;1,7;-18,3;10550;39850;3,8
